action,path_relative_to_umicom_studio,bytes
DOCUMENTATION,BATCH_24_README.txt,2068
REPLACE_OR_VERIFY,CMakeLists.txt,4358
MANUAL_MERGE_GUIDE,applications/studio/CMakeLists.txt.batch24.merge.txt,3064
REPLACE_OR_VERIFY,applications/studio/include/umicom/studio/contributions.h,1972
REPLACE_OR_VERIFY,applications/studio/include/umicom/studio/version.h,859
REPLACE_OR_VERIFY,applications/studio/include/umicom/studio/workbench_commands.h,1541
REPLACE_OR_VERIFY,applications/studio/include/umicom/studio/workbench_shell_catalogue.h,2280
ADD,applications/studio/include/umicom/studio/workbench_views.h,1113
REPLACE_OR_VERIFY,applications/studio/src/app/contributions.c,12061
REPLACE_OR_VERIFY,applications/studio/src/app/workbench.c,5114
REPLACE_OR_VERIFY,applications/studio/src/app/workbench_commands.c,12042
REPLACE_OR_VERIFY,applications/studio/src/app/workbench_shell_catalogue.c,15723
ADD,applications/studio/src/app/workbench_views.c,17833
REPLACE_OR_VERIFY,applications/studio/src/gtk/main.c,8886
REPLACE_OR_VERIFY,applications/studio/tests/test_workbench_activity.c,2035
REPLACE_OR_VERIFY,applications/studio/tests/test_workbench_keybinding.c,1434
REPLACE_OR_VERIFY,applications/studio/tests/test_workbench_session_state.c,1299
REPLACE_OR_VERIFY,applications/studio/tests/test_workbench_shell_catalogue.c,1876
ADD,applications/studio/tests/test_workbench_views.c,1733
REPLACE_OR_VERIFY,docs/batches/BATCH_24_UNIFIED_WORKBENCH_VIEW_INTEGRATION.md,1022
MANUAL_MERGE_GUIDE,framework/CMakeLists.txt.batch24.merge.txt,4248
REPLACE_OR_VERIFY,framework/adapters/gtk4/activity_bar_gtk4.c,2864
REPLACE_OR_VERIFY,framework/adapters/gtk4/breadcrumb_gtk4.c,1823
REPLACE_OR_VERIFY,framework/adapters/gtk4/gtk4_internal.h,3403
REPLACE_OR_VERIFY,framework/adapters/gtk4/keybinding_gtk4.c,5861
REPLACE_OR_VERIFY,framework/adapters/gtk4/pane_gtk4.c,2750
REPLACE_OR_VERIFY,framework/adapters/gtk4/quick_access_gtk4.c,4464
REPLACE_OR_VERIFY,framework/adapters/gtk4/shell_gtk4.c,5866
REPLACE_OR_VERIFY,framework/adapters/gtk4/view_container_gtk4.c,1891
ADD,framework/adapters/gtk4/view_model_gtk4.c,5377
REPLACE_OR_VERIFY,framework/adapters/gtk4/workbench_gtk4.c,2458
REPLACE_OR_VERIFY,framework/adapters/headless/headless_internal.h,2298
REPLACE_OR_VERIFY,framework/adapters/headless/panes_headless.c,1504
ADD,framework/adapters/headless/view_model_headless.c,2277
REPLACE_OR_VERIFY,framework/adapters/headless/workbench_headless.c,2269
DOCUMENTATION,framework/docs/batches/BATCH_24_REUSABLE_VIEW_PRESENTATION.md,760
REPLACE_OR_VERIFY,framework/include/umicom/base/version.h,869
REPLACE_OR_VERIFY,framework/include/umicom/ui/activity.h,2281
REPLACE_OR_VERIFY,framework/include/umicom/ui/breadcrumb.h,1833
REPLACE_OR_VERIFY,framework/include/umicom/ui/context.h,2545
REPLACE_OR_VERIFY,framework/include/umicom/ui/contracts.h,1976
REPLACE_OR_VERIFY,framework/include/umicom/ui/explorer.h,3182
REPLACE_OR_VERIFY,framework/include/umicom/ui/keybinding.h,2737
REPLACE_OR_VERIFY,framework/include/umicom/ui/quick_access.h,1529
REPLACE_OR_VERIFY,framework/include/umicom/ui/view_container.h,2874
ADD,framework/include/umicom/ui/view_presentation.h,1823
REPLACE_OR_VERIFY,framework/include/umicom/ui/workbench.h,5975
REPLACE_OR_VERIFY,framework/include/umicom/ui/workbench_state.h,1594
REPLACE_OR_VERIFY,framework/src/ui/activity.c,6613
REPLACE_OR_VERIFY,framework/src/ui/breadcrumb.c,4861
REPLACE_OR_VERIFY,framework/src/ui/context.c,9159
REPLACE_OR_VERIFY,framework/src/ui/explorer.c,8066
REPLACE_OR_VERIFY,framework/src/ui/keybinding.c,7832
REPLACE_OR_VERIFY,framework/src/ui/quick_access.c,3930
REPLACE_OR_VERIFY,framework/src/ui/view_container.c,7982
ADD,framework/src/ui/view_presentation.c,4198
REPLACE_OR_VERIFY,framework/src/ui/workbench.c,20960
REPLACE_OR_VERIFY,framework/src/ui/workbench_service_internal.h,2223
REPLACE_OR_VERIFY,framework/src/ui/workbench_state.c,5777
REPLACE_OR_VERIFY,framework/tests/test_ui_activity.c,1567
REPLACE_OR_VERIFY,framework/tests/test_ui_breadcrumb.c,1221
REPLACE_OR_VERIFY,framework/tests/test_ui_context.c,1430
REPLACE_OR_VERIFY,framework/tests/test_ui_explorer.c,1594
ADD,framework/tests/test_ui_headless_view_presentation.c,3696
REPLACE_OR_VERIFY,framework/tests/test_ui_keybinding.c,1947
REPLACE_OR_VERIFY,framework/tests/test_ui_quick_access.c,1879
REPLACE_OR_VERIFY,framework/tests/test_ui_view_container.c,1967
ADD,framework/tests/test_ui_view_presentation.c,2806
REPLACE_OR_VERIFY,framework/tests/test_ui_workbench_state.c,1569
